timestamp,java_nio_BufferPool_Count,java_nio_BufferPool_MemoryUsed,java_nio_BufferPool_TotalCapacity,jmx_config_reload_failure_created,jmx_config_reload_failure_total,jmx_config_reload_success_created,jmx_config_reload_success_total,jmx_exporter_build_info,jmx_scrape_cached_beans,jmx_scrape_duration_seconds,jmx_scrape_error,jvm_buffer_pool_capacity_bytes,jvm_buffer_pool_used_buffers,jvm_buffer_pool_used_bytes,jvm_classes_currently_loaded,jvm_classes_loaded_total,jvm_classes_unloaded_total,jvm_gc_collection_seconds_count,jvm_gc_collection_seconds_sum,jvm_info,jvm_memory_bytes_committed,jvm_memory_bytes_init,jvm_memory_bytes_max,jvm_memory_bytes_used,jvm_memory_objects_pending_finalization,jvm_memory_pool_allocated_bytes_created,jvm_memory_pool_allocated_bytes_total,jvm_memory_pool_bytes_committed,jvm_memory_pool_bytes_init,jvm_memory_pool_bytes_max,jvm_memory_pool_bytes_used,jvm_memory_pool_collection_committed_bytes,jvm_memory_pool_collection_init_bytes,jvm_memory_pool_collection_max_bytes,jvm_memory_pool_collection_used_bytes,jvm_threads_current,jvm_threads_daemon,jvm_threads_deadlocked,jvm_threads_deadlocked_monitor,jvm_threads_peak,jvm_threads_started_total,jvm_threads_state,process_cpu_seconds_total,process_max_fds,process_open_fds,process_resident_memory_bytes,process_start_time_seconds,process_virtual_memory_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2023-12-09 03:18:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.024126429,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601520.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7417.0,10.0,567.18,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.042261755,678.0,678.0,0.0,1.0
2023-12-09 03:19:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023597408,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601520.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7425.0,10.0,567.49,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.041499644,678.0,678.0,0.0,1.0
2023-12-09 03:20:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.02368898,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601520.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7431.0,10.0,567.65,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.04104237,678.0,678.0,0.0,1.0
2023-12-09 03:21:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023782663,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601520.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,57.0,49.0,0.0,0.0,65.0,7438.0,10.0,567.94,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.041234212,678.0,678.0,0.0,1.0
2023-12-09 03:22:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023798914,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601520.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7444.0,10.0,568.09,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.04168704,678.0,678.0,0.0,1.0
2023-12-09 03:23:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023547284,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87600304.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7452.0,10.0,568.46,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.040882126,678.0,678.0,0.0,1.0
2023-12-09 03:24:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.021402071,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601456.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7458.0,10.0,568.63,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.039926795,678.0,678.0,0.0,1.0
2023-12-09 03:25:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.024139249,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601456.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7466.0,10.0,568.92,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.04221691,678.0,678.0,0.0,1.0
2023-12-09 03:26:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023893125,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601456.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7472.0,10.0,569.09,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.041314391,678.0,678.0,0.0,1.0
2023-12-09 03:27:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.02436599,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87601456.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7480.0,10.0,569.43,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.043052325,678.0,678.0,0.0,1.0
